17.05884810899 0.003990566844477 -0.05580581793732   -0.003846821204003 -0.05640875004186   
17.12167996206 0.003963251879211 -0.0556175175679   -0.003825248841767 -0.05622297411358   
17.18451181514 0.003936173790601 -0.05543043808072   -0.003803870111371 -0.05603831216623   
17.24734366821 0.003909330437601 -0.05524456838234   -0.003782682414534 -0.05585475492767   
17.31017552128 0.003882719791634 -0.05505989749282   -0.003761683177457 -0.05567229322855   
17.37300737435 0.003856339862096 -0.05487641451677   -0.003740869865634 -0.0554909180007   
17.43583922742 0.003830188595439 -0.05469410865461   -0.003720240003954 -0.05531062027603   
17.4986710805 0.003804263863897 -0.05451296923544   -0.00369979117828 -0.05513139118522   
17.56150293357 0.003778563551218 -0.05433298573184   -0.003679521018588 -0.05495322195565   
17.62433478664 0.003753085635048 -0.05415414774222   -0.003659427183016 -0.05477610390963   
17.68716663971 0.003727828176124 -0.05397644496247   -0.003639507358748 -0.05460002846314   
17.74999849278 0.003702789232852 -0.05379986717683   -0.003619759274924 -0.05442498712495   
17.81283034585 0.003677966797485 -0.05362440427288   -0.003600180711896 -0.05425097149528   
17.87566219893 0.003653358820281 -0.05345004626019   -0.003580769496907 -0.05407797326377   
17.938494052 0.003628963288865 -0.05327678327231   -0.003561523493093 -0.05390598420758   
18.00132590507 0.003604778277436 -0.05310460555234   -0.003542440592477 -0.05373499619032   
18.06415775814 0.003580801917945 -0.05293350343836   -0.003523518718278 -0.05356500116155   
18.12698961121 0.003557032329345 -0.05276346736132   -0.003504755831297 -0.05339599115603   
18.18982146428 0.003533467579643 -0.05259448785314   -0.003486149932375 -0.05322795829202   
18.25265331736 0.003510105714619 -0.05242655555362   -0.003467699059648 -0.05306089476921   
18.31548517043 0.003486944818648 -0.05225966120947   -0.003449401284335 -0.05289479286704   
18.3783170235 0.003463983045837 -0.05209379566833   -0.003431254708882 -0.05272964494415   
18.44114887657 0.003441218595451 -0.05192894987407   -0.003413257466838 -0.05256544343814   
18.50398072964 0.003418649660973 -0.05176511486574   -0.003395407722681 -0.05240218086492   
18.56681258272 0.003396274403514 -0.05160228177735   -0.003377703670669 -0.05223984981699   
18.62964443579 0.003374090970725 -0.05144044183625   -0.003360143534644 -0.0520784429615   
18.69247628886 0.003352097537844 -0.05127958636172   -0.003342725570009 -0.05191795303877   
18.75530814193 0.003330292331398 -0.05111970676636   -0.003325448065237 -0.0517583728618   
18.818139995 0.003308673617046 -0.05096079455948   -0.003308309340173 -0.05159969531615   
18.88097184807 0.003287239667928 -0.05080284134736   -0.003291307740672 -0.05144191335942   
18.94380370115 0.003265988744074 -0.0506458388274   -0.003274441633765 -0.05128502001986   
19.00663555422 0.00324491909821 -0.05048977877902   -0.003257709408185 -0.05112900839466   
19.06946740729 0.003224028998163 -0.0503346530592   -0.003241109480264 -0.05097387164853   
19.13229926036 0.003203316743829 -0.05018045360735   -0.003224640299905 -0.05081960301301   
19.19513111343 0.003182780666224 -0.05002717245561   -0.003208300350179 -0.05066619578634   
19.25796296651 0.003162419113638 -0.04987480173444   -0.003192088139629 -0.05051364333303   
19.32079481958 0.003142230439584 -0.04972333366661   -0.003176002192865 -0.05036193908303   
19.38362667265 0.003122213000964 -0.04957276055265   -0.003160041047907 -0.05021107653024   
19.44645852572 0.003102365164702 -0.04942307475915   -0.003144203262363 -0.05006104923126   
19.50929037879 0.003082685313994 -0.04927426872007   -0.003128487423681 -0.04991185080451   
19.57212223186 0.003063171849479 -0.04912633495007   -0.003112892154282 -0.04976347492977   
19.63495408494 0.00304382318778 -0.04897926605856   -0.00309741610596 -0.04961591534789   
19.69778593801 0.003024637760858 -0.04883305475136   -0.003082057948149 -0.04946916586017   
19.76061779108 0.003005614018066 -0.04868769381712   -0.00306681635836 -0.04932322032742   
19.82344964415 0.002986750426098 -0.04854317610829   -0.003051690023382 -0.04917807266893   
19.88628149722 0.002968045464702 -0.04839949453123   -0.003036677649628 -0.0490337168615   
19.9491133503 0.002949497619635 -0.04825664205356   -0.003021777974679 -0.04889014693885   
20.01194520337 0.002931105379913 -0.04811461172249   -0.003006989770126 -0.04874735699106   
20.07477705644 0.002912867244013 -0.04797339667924   -0.002992311832843 -0.04860534116404   
20.13760890951 0.002894781731456 -0.04783299015734   -0.002977742971601 -0.04846409365892   
20.20044076258 0.002876847391448 -0.04769338546493   -0.002963281998283 -0.04832360873129   
20.26327261565 0.002859062799207 -0.04755457596387   -0.002948927731176 -0.04818388069048   
20.32610446873 0.002841426541748 -0.04741655506102   -0.002934679006656 -0.04804490389899   
20.3889363218 0.002823937202149 -0.04727931621781   -0.002920534691145 -0.04790667277178   
