8.93783 0.000123562 -0.119282  0.241301 0.554855  
8.96925 -8.60479e-06 -0.118795  0.250595 0.551944  
9.00066 -0.000138823 -0.118313  0.259903 0.54902  
9.03208 -0.000267093 -0.117833  0.269222 0.546083  
9.06349 -0.000393412 -0.117357  0.27855 0.543134  
9.09491 -0.000517782 -0.116885  0.287884 0.540174  
9.12633 -0.000640204 -0.116416  0.297223 0.537203  
9.15774 -0.000760679 -0.11595  0.306563 0.534223  
9.18916 -0.000879209 -0.115488  0.315903 0.531234  
9.22057 -0.000995799 -0.115028  0.32524 0.528236  
9.25199 -0.00111045 -0.114573  0.334572 0.525231  
9.28341 -0.00122317 -0.11412  0.343897 0.52222  
9.31482 -0.00133396 -0.113671  0.353212 0.519202  
9.34624 -0.00144283 -0.113225  0.362515 0.516178  
9.37765 -0.00154978 -0.112782  0.371805 0.51315  
9.40907 -0.00165483 -0.112342  0.381078 0.510117  
9.44049 -0.00175797 -0.111905  0.390333 0.50708  
9.4719 -0.00185922 -0.111472  0.399568 0.50404  
9.50332 -0.00195858 -0.111042  0.408781 0.500998  
9.53473 -0.00205607 -0.110615  0.417969 0.497953  
9.56615 -0.00215168 -0.11019  0.427131 0.494906  
9.59757 -0.00224544 -0.109769  0.436264 0.491858  
9.62898 -0.00233735 -0.109351  0.445367 0.488809  
9.6604 -0.00242743 -0.108936  0.454437 0.48576  
9.69181 -0.00251568 -0.108524  0.463473 0.482711  
9.72323 -0.00260211 -0.108115  0.472473 0.479662  
9.75465 -0.00268674 -0.107709  0.481435 0.476614  
9.78606 -0.00276957 -0.107306  0.490357 0.473566  
9.81748 -0.00285063 -0.106905  0.499237 0.470521  
9.84889 -0.00292992 -0.106508  0.508074 0.467477  
9.88031 -0.00300745 -0.106113  0.516866 0.464435  
9.91172 -0.00308324 -0.105721  0.525611 0.461395  
9.94314 -0.00315731 -0.105332  0.534307 0.458359  
9.97456 -0.00322966 -0.104946  0.542953 0.455325  
10.006 -0.00330031 -0.104562  0.551547 0.452294  
10.0374 -0.00336928 -0.104182  0.560087 0.449267  
10.0688 -0.00343657 -0.103804  0.568573 0.446243  
10.1002 -0.0035022 -0.103428  0.577002 0.443223  
10.1316 -0.00356619 -0.103056  0.585372 0.440207  
10.1631 -0.00362856 -0.102686  0.593684 0.437196  
10.1945 -0.00368931 -0.102318  0.601934 0.434189  
10.2259 -0.00374846 -0.101953  0.610121 0.431187  
10.2573 -0.00380603 -0.101591  0.618245 0.42819  
10.2887 -0.00386203 -0.101232  0.626304 0.425198  
10.3201 -0.00391648 -0.100875  0.634296 0.422211  
10.3515 -0.00396939 -0.10052  0.64222 0.419229  
10.383 -0.00402079 -0.100168  0.650075 0.416253  
10.4144 -0.00407067 -0.0998184  0.65786 0.413282  
10.4458 -0.00411907 -0.0994714  0.665573 0.410318  
10.4772 -0.004166 -0.0991267  0.673214 0.407359  
10.5086 -0.00421147 -0.0987845  0.68078 0.404406  
10.54 -0.0042555 -0.0984448  0.688272 0.40146  
10.5715 -0.0042981 -0.0981073  0.695687 0.398519  
10.6029 -0.0043393 -0.0977723  0.703026 0.395585  
10.6343 -0.0043791 -0.0974396  0.710286 0.392658  
10.6657 -0.00441752 -0.0971092  0.717466 0.389737  
10.6971 -0.00445459 -0.0967812  0.724567 0.386823  
10.7285 -0.00449031 -0.0964554  0.731586 0.383916  
10.76 -0.00452471 -0.0961319  0.738524 0.381015  
10.7914 -0.00455779 -0.0958106  0.745378 0.378122  
10.8228 -0.00458958 -0.0954916  0.752148 0.375235  
10.8542 -0.00462009 -0.0951748  0.758834 0.372356  
10.8856 -0.00464934 -0.0948601  0.765434 0.369484  
10.917 -0.00467734 -0.0945477  0.771948 0.366619  
10.9485 -0.00470411 -0.0942374  0.778375 0.363762  
10.9799 -0.00472967 -0.0939292  0.784714 0.360912  
11.0113 -0.00475402 -0.0936232  0.790964 0.358069  
11.0427 -0.0047772 -0.0933192  0.797125 0.355234  
11.0741 -0.00479921 -0.0930174  0.803197 0.352407  
11.1055 -0.00482007 -0.0927176  0.809177 0.349588  
11.1369 -0.00483979 -0.0924198  0.815067 0.346776  
11.1684 -0.0048584 -0.0921241  0.820865 0.343973  
11.1998 -0.0048759 -0.0918304  0.826571 0.341177  
11.2312 -0.00489232 -0.0915387  0.832183 0.33839  
11.2626 -0.00490766 -0.0912489  0.837703 0.33561  
11.294 -0.00492195 -0.0909612  0.843129 0.332839  
11.3254 -0.0049352 -0.0906753  0.84846 0.330076  
11.3569 -0.00494742 -0.0903914  0.853697 0.327321  
11.3883 -0.00495863 -0.0901094  0.858839 0.324575  
11.4197 -0.00496885 -0.0898293  0.863885 0.321838  
11.4511 -0.00497809 -0.0895511  0.868835 0.319109  
11.4825 -0.00498636 -0.0892747  0.873689 0.316388  
11.5139 -0.00499368 -0.0890001  0.878446 0.313677  
11.5454 -0.00500007 -0.0887274  0.883107 0.310974  
11.5768 -0.00500553 -0.0884565  0.88767 0.30828  
11.6082 -0.00501009 -0.0881875  0.892136 0.305595  
11.6396 -0.00501376 -0.0879201  0.896504 0.30292  
11.671 -0.00501655 -0.0876546  0.900774 0.300253  
11.7024 -0.00501848 -0.0873908  0.904946 0.297596  
11.7338 -0.00501956 -0.0871287  0.909019 0.294948  
11.7653 -0.0050198 -0.0868683  0.912995 0.292309  
11.7967 -0.00501922 -0.0866097  0.916871 0.28968  
11.8281 -0.00501784 -0.0863527  0.920649 0.287061  
11.8595 -0.00501566 -0.0860974  0.924328 0.284452  
11.8909 -0.0050127 -0.0858438  0.927907 0.281852  
11.9223 -0.00500898 -0.0855918  0.931388 0.279262  
11.9538 -0.0050045 -0.0853415  0.93477 0.276683  
11.9852 -0.00499929 -0.0850927  0.938052 0.274113  
12.0166 -0.00499334 -0.0848456  0.941235 0.271554  
12.048 -0.00498669 -0.0846  0.94432 0.269005  
12.0794 -0.00497933 -0.0843561  0.947304 0.266467  
12.1108 -0.00497128 -0.0841136  0.95019 0.263939  
12.1423 -0.00496256 -0.0838728  0.952977 0.261422  
12.1737 -0.00495317 -0.0836334  0.955664 0.258915  
12.2051 -0.00494313 -0.0833956  0.958252 0.25642  
12.2365 -0.00493246 -0.0831593  0.960742 0.253936  
12.2679 -0.00492116 -0.0829245  0.963133 0.251462  
12.2993 -0.00490924 -0.0826911  0.965425 0.249  
12.3308 -0.00489672 -0.0824592  0.967618 0.24655  
12.3622 -0.00488361 -0.0822288  0.969713 0.244111  
12.3936 -0.00486992 -0.0819998  0.971709 0.241683  
12.425 -0.00485567 -0.0817723  0.973608 0.239268  
12.4564 -0.00484085 -0.0815461  0.975408 0.236864  
12.4878 -0.00482549 -0.0813214  0.977111 0.234472  
12.5192 -0.0048096 -0.081098  0.978717 0.232093  
12.5507 -0.00479318 -0.0808761  0.980225 0.229725  
12.5821 -0.00474509 -0.0806726  0.976588 0.229413  
12.6135 -0.0046976 -0.0804701  0.972978 0.229101  
12.6449 -0.0046507 -0.0802685  0.969395 0.228788  
12.6763 -0.00460437 -0.0800679  0.965838 0.228476  
12.7077 -0.00455863 -0.0798683  0.962308 0.228164  
12.7392 -0.00451344 -0.0796696  0.958804 0.227851  
12.7706 -0.00446881 -0.0794719  0.955326 0.227539  
12.802 -0.00442473 -0.079275  0.951873 0.227226  
12.8334 -0.00438119 -0.0790791  0.948446 0.226914  
12.8648 -0.00433818 -0.0788842  0.945044 0.226602  
12.8962 -0.0042957 -0.0786901  0.941667 0.226289  
12.9277 -0.00425373 -0.078497  0.938314 0.225977  
12.9591 -0.00421228 -0.0783047  0.934986 0.225665  
12.9905 -0.00417132 -0.0781134  0.931681 0.225352  
13.0219 -0.00413086 -0.0779229  0.928401 0.22504  
13.0533 -0.00409088 -0.0777334  0.925144 0.224727  
13.0847 -0.00405139 -0.0775447  0.921911 0.224415  
13.1161 -0.00401237 -0.0773569  0.918701 0.224103  
13.1476 -0.00397382 -0.07717  0.915514 0.22379  
13.179 -0.00393573 -0.0769839  0.912349 0.223478  
13.2104 -0.00389809 -0.0767987  0.909207 0.223166  
13.2418 -0.0038609 -0.0766144  0.906088 0.222853  
13.2732 -0.00382415 -0.0764309  0.902991 0.222541  
13.3046 -0.00378783 -0.0762482  0.899915 0.222228  
13.3361 -0.00375195 -0.0760664  0.896862 0.221916  
13.3675 -0.00371648 -0.0758854  0.893829 0.221604  
13.3989 -0.00368144 -0.0757053  0.890818 0.221291  
13.4303 -0.0036468 -0.0755259  0.887829 0.220979  
13.4617 -0.00361257 -0.0753474  0.88486 0.220667  
13.4931 -0.00357874 -0.0751697  0.881912 0.220354  
13.5246 -0.0035453 -0.0749929  0.878984 0.220042  
13.556 -0.00351225 -0.0748168  0.876077 0.219729  
13.5874 -0.00347959 -0.0746415  0.873189 0.219417  
13.6188 -0.0034473 -0.074467  0.870322 0.219105  
13.6502 -0.00341539 -0.0742933  0.867475 0.218792  
13.6816 -0.00338384 -0.0741204  0.864647 0.21848  
13.7131 -0.00335265 -0.0739482  0.861838 0.218168  
13.7445 -0.00332183 -0.0737769  0.859049 0.217855  
13.7759 -0.00329135 -0.0736063  0.856279 0.217543  
13.8073 -0.00326122 -0.0734364  0.853528 0.21723  
13.8387 -0.00323144 -0.0732674  0.850795 0.216918  
13.8701 -0.00320199 -0.0730991  0.848081 0.216606  
13.9015 -0.00317288 -0.0729315  0.845386 0.216293  
13.933 -0.0031441 -0.0727647  0.842708 0.215981  
13.9644 -0.00311564 -0.0725986  0.840049 0.215669  
13.9958 -0.00308751 -0.0724332  0.837407 0.215356  
14.0272 -0.00305969 -0.0722686  0.834784 0.215044  
14.0586 -0.00303218 -0.0721047  0.832177 0.214731  
14.09 -0.00300498 -0.0719416  0.829589 0.214419  
14.1215 -0.00297808 -0.0717791  0.827017 0.214107  
14.1529 -0.00295148 -0.0716174  0.824463 0.213794  
14.1843 -0.00292518 -0.0714563  0.821925 0.213482  
14.2157 -0.00289917 -0.071296  0.819405 0.21317  
14.2471 -0.00287345 -0.0711364  0.816901 0.212857  
14.2785 -0.00284801 -0.0709775  0.814413 0.212545  
14.31 -0.00282285 -0.0708192  0.811942 0.212232  
14.3414 -0.00279797 -0.0706617  0.809487 0.21192  
14.3728 -0.00277336 -0.0705048  0.807048 0.211608  
14.4042 -0.00274902 -0.0703487  0.804625 0.211295  
14.4356 -0.00272495 -0.0701932  0.802218 0.210983  
14.467 -0.00270114 -0.0700383  0.799827 0.210671  
14.4985 -0.00267759 -0.0698841  0.797451 0.210358  
14.5299 -0.0026543 -0.0697306  0.795091 0.210046  
