10.0217 0.00659652 -0.0971352  2.07576 -0.189009  -0.00661684 -0.0973964  0.922726 -0.161462  
10.0845 0.00652554 -0.0965576  2.07497 -0.188151  -0.00654058 -0.0968173  0.92298 -0.160503  
10.1473 0.00645576 -0.0959869  2.07418 -0.187287  -0.00646551 -0.0962449  0.923222 -0.159567  
10.2102 0.00638714 -0.0954229  2.0734 -0.186416  -0.0063916 -0.095679  0.92345 -0.158653  
10.273 0.00631967 -0.0948655  2.07261 -0.18554  -0.00631884 -0.0951195  0.923666 -0.157761  
10.3358 0.00625332 -0.0943147  2.07183 -0.184657  -0.00624719 -0.0945662  0.92387 -0.15689  
10.3987 0.00618807 -0.0937701  2.07105 -0.183768  -0.00617665 -0.0940191  0.924063 -0.15604  
10.4615 0.00612388 -0.0932319  2.07028 -0.182872  -0.00610718 -0.0934782  0.924245 -0.155211  
10.5243 0.00606074 -0.0926998  2.0695 -0.18197  -0.00603879 -0.0929431  0.924416 -0.154402  
10.5872 0.00599862 -0.0921738  2.06873 -0.181061  -0.00597143 -0.092414  0.924577 -0.153613  
10.65 0.0059375 -0.0916538  2.06796 -0.180146  -0.0059051 -0.0918907  0.924728 -0.152845  
10.7128 0.00587735 -0.0911396  2.06719 -0.179224  -0.00583978 -0.0913731  0.92487 -0.152096  
10.7757 0.00581817 -0.0906311  2.06642 -0.178295  -0.00577545 -0.090861  0.925002 -0.151366  
10.8385 0.00575992 -0.0901283  2.06565 -0.17736  -0.0057121 -0.0903545  0.925125 -0.150655  
10.9013 0.00570259 -0.0896311  2.06489 -0.176419  -0.0056497 -0.0898535  0.925239 -0.149962  
10.9642 0.00564615 -0.0891394  2.06413 -0.175471  -0.00558823 -0.0893578  0.925346 -0.149288  
11.027 0.0055906 -0.0886531  2.06337 -0.174516  -0.0055277 -0.0888673  0.925444 -0.148632  
11.0898 0.0055359 -0.088172  2.06261 -0.173555  -0.00546806 -0.0883821  0.925535 -0.147993  
11.1527 0.00548204 -0.0876962  2.06186 -0.172588  -0.00540932 -0.0879019  0.925619 -0.147372  
11.2155 0.005429 -0.0872255  2.0611 -0.171614  -0.00535146 -0.0874268  0.925695 -0.146768  
11.2783 0.00537677 -0.0867599  2.06035 -0.170634  -0.00529445 -0.0869567  0.925765 -0.14618  
11.3411 0.00532533 -0.0862992  2.0596 -0.169648  -0.00523829 -0.0864914  0.925828 -0.145609  
11.404 0.00527467 -0.0858434  2.05885 -0.168656  -0.00518297 -0.086031  0.925885 -0.145054  
11.4668 0.00522475 -0.0853924  2.05811 -0.167658  -0.00512846 -0.0855752  0.925937 -0.144514  
11.5296 0.00517558 -0.0849462  2.05736 -0.166654  -0.00507475 -0.0851242  0.925982 -0.14399  
11.5925 0.00512714 -0.0845046  2.05662 -0.165644  -0.00502183 -0.0846777  0.926023 -0.143481  
11.6553 0.0050794 -0.0840676  2.05588 -0.164629  -0.00496968 -0.0842358  0.926058 -0.142987  
11.7181 0.00503236 -0.0836351  2.05515 -0.163608  -0.0049183 -0.0837983  0.926088 -0.142507  
11.781 0.00498601 -0.0832071  2.05441 -0.162581  -0.00486767 -0.0833652  0.926114 -0.142041  
11.8438 0.00494032 -0.0827834  2.05368 -0.16155  -0.00481777 -0.0829365  0.926135 -0.141589  
11.9066 0.00489529 -0.082364  2.05295 -0.160513  -0.00476859 -0.0825121  0.926152 -0.14115  
11.9695 0.0048509 -0.0819489  2.05222 -0.159471  -0.00472013 -0.0820918  0.926165 -0.140725  
12.0323 0.00480713 -0.081538  2.0515 -0.158425  -0.00467237 -0.0816757  0.926174 -0.140312  
12.0951 0.00476399 -0.0811312  2.05077 -0.157373  -0.00462529 -0.0812637  0.92618 -0.139912  
12.158 0.00472145 -0.0807284  2.05005 -0.156317  -0.00457888 -0.0808558  0.926182 -0.139525  
12.2208 0.0046795 -0.0803296  2.04933 -0.155257  -0.00453315 -0.0804518  0.926181 -0.139149  
12.2836 0.00463814 -0.0799348  2.04862 -0.154192  -0.00448806 -0.0800517  0.926177 -0.138785  
12.3465 0.00459734 -0.0795438  2.0479 -0.153123  -0.00444361 -0.0796555  0.926171 -0.138432  
12.4093 0.00455711 -0.0791566  2.04719 -0.15205  -0.0043998 -0.0792631  0.926161 -0.138091  
12.4721 0.00451742 -0.0787732  2.04648 -0.150973  -0.0043566 -0.0788745  0.926149 -0.13776  
12.535 0.00447827 -0.0783935  2.04578 -0.149892  -0.00431402 -0.0784896  0.926135 -0.13744  
12.5978 0.00443535 -0.0780156  2.04574 -0.149189  -0.00427425 -0.0781098  0.926453 -0.136848  
12.6606 0.00439303 -0.0776413  2.0457 -0.148492  -0.00423502 -0.0777336  0.926766 -0.136262  
12.7235 0.00435131 -0.0772705  2.04567 -0.147801  -0.00419631 -0.077361  0.927075 -0.13568  
12.7863 0.00431017 -0.0769032  2.04563 -0.147117  -0.00415811 -0.076992  0.927379 -0.135104  
12.8491 0.00426961 -0.0765393  2.0456 -0.146439  -0.00412041 -0.0766263  0.927678 -0.134532  
12.9119 0.00422961 -0.0761787  2.04556 -0.145767  -0.00408321 -0.0762641  0.927974 -0.133964  
12.9748 0.00419016 -0.0758215  2.04553 -0.145101  -0.0040465 -0.0759053  0.928264 -0.133402  
13.0376 0.00415126 -0.0754676  2.0455 -0.144441  -0.00401027 -0.0755498  0.928551 -0.132844  
13.1004 0.00411289 -0.0751169  2.04546 -0.143787  -0.00397451 -0.0751975  0.928834 -0.13229  
13.1633 0.00407504 -0.0747694  2.04543 -0.143139  -0.00393922 -0.0748485  0.929112 -0.131741  
13.2261 0.00403771 -0.0744251  2.0454 -0.142496  -0.00390438 -0.0745027  0.929387 -0.131197  
