7.94823 0.0281585 -0.104532  2.50512 -0.773414  0.00205052 -0.107927  2.75191 -1.101  -0.0251125 -0.105546  3.08138 -0.790402  
8.01106 0.0277584 -0.103982  2.51229 -0.769646  0.00199879 -0.107304  2.75523 -1.09329  -0.0247852 -0.104959  3.07957 -0.786429  
8.07389 0.0273667 -0.103434  2.51928 -0.765912  0.00194877 -0.106687  2.75848 -1.08567  -0.024464 -0.104378  3.07781 -0.782493  
8.13672 0.0269831 -0.10289  2.52612 -0.762211  0.00190039 -0.106076  2.76165 -1.07816  -0.0241488 -0.103801  3.07608 -0.778593  
8.19956 0.0266075 -0.10235  2.5328 -0.758541  0.00185359 -0.105471  2.76475 -1.07075  -0.0238394 -0.103229  3.07439 -0.774729  
8.26239 0.0262396 -0.101813  2.53933 -0.754904  0.0018083 -0.104871  2.76778 -1.06343  -0.0235357 -0.102663  3.07274 -0.770901  
8.32522 0.0258792 -0.10128  2.54571 -0.751299  0.00176447 -0.104276  2.77073 -1.05621  -0.0232375 -0.102101  3.07113 -0.767107  
8.38805 0.0255262 -0.100751  2.55195 -0.747724  0.00172203 -0.103687  2.77363 -1.04908  -0.0229448 -0.101544  3.06955 -0.763348  
8.45088 0.0251802 -0.100225  2.55805 -0.744181  0.00168095 -0.103104  2.77646 -1.04205  -0.0226574 -0.100992  3.06801 -0.759623  
8.51372 0.0248412 -0.0997029  2.56401 -0.740668  0.00164115 -0.102526  2.77922 -1.0351  -0.0223751 -0.100445  3.0665 -0.755932  
8.57655 0.0245089 -0.0991846  2.56984 -0.737185  0.0016026 -0.101954  2.78193 -1.02824  -0.0220979 -0.0999025  3.06503 -0.752274  
8.63938 0.0241832 -0.0986699  2.57555 -0.733731  0.00156525 -0.101387  2.78458 -1.02147  -0.0218257 -0.0993648  3.06359 -0.748649  
8.70221 0.0238639 -0.098159  2.58114 -0.730308  0.00152904 -0.100825  2.78717 -1.01478  -0.0215582 -0.0988317  3.06218 -0.745056  
8.76504 0.0235509 -0.0976519  2.5866 -0.726913  0.00149395 -0.100268  2.7897 -1.00818  -0.0212955 -0.0983033  3.0608 -0.741495  
8.82788 0.0232439 -0.0971485  2.59195 -0.723547  0.00145993 -0.0997165  2.79218 -1.00165  -0.0210374 -0.0977795  3.05945 -0.737965  
8.89071 0.0229428 -0.0966489  2.59718 -0.720209  0.00142693 -0.0991701  2.79461 -0.995211  -0.0207838 -0.0972604  3.05812 -0.734467  
8.95354 0.0226476 -0.096153  2.60231 -0.7169  0.00139493 -0.0986287  2.79699 -0.988847  -0.0205346 -0.0967457  3.05683 -0.731  
9.01637 0.0223579 -0.0956609  2.60733 -0.713618  0.00136388 -0.0980924  2.79931 -0.98256  -0.0202898 -0.0962356  3.05556 -0.727562  
9.0792 0.0220738 -0.0951726  2.61224 -0.710363  0.00133376 -0.097561  2.80159 -0.976349  -0.0200491 -0.0957299  3.05432 -0.724155  
9.14203 0.021795 -0.094688  2.61706 -0.707136  0.00130452 -0.0970346  2.80383 -0.970213  -0.0198125 -0.0952286  3.0531 -0.720778  
9.20487 0.0215214 -0.0942072  2.62177 -0.703935  0.00127614 -0.096513  2.80601 -0.96415  -0.01958 -0.0947318  3.05191 -0.717429  
9.2677 0.0212529 -0.0937301  2.62639 -0.700761  0.00124859 -0.0959962  2.80816 -0.958158  -0.0193514 -0.0942392  3.05074 -0.71411  
9.33053 0.0209894 -0.0932567  2.63092 -0.697614  0.00122184 -0.0954842  2.81026 -0.952237  -0.0191267 -0.093751  3.0496 -0.710819  
9.39336 0.0207307 -0.092787  2.63535 -0.694492  0.00119585 -0.0949769  2.81231 -0.946386  -0.0189057 -0.0932671  3.04848 -0.707556  
9.45619 0.0204767 -0.092321  2.6397 -0.691395  0.00117061 -0.0944742  2.81433 -0.940603  -0.0186884 -0.0927874  3.04738 -0.704321  
9.51903 0.0202274 -0.0918587  2.64396 -0.688324  0.00114608 -0.0939762  2.81631 -0.934887  -0.0184747 -0.0923119  3.0463 -0.701114  
9.58186 0.0199826 -0.0914  2.64814 -0.685278  0.00112225 -0.0934827  2.81825 -0.929237  -0.0182646 -0.0918405  3.04525 -0.697934  
9.64469 0.0197421 -0.090945  2.65224 -0.682257  0.00109908 -0.0929937  2.82015 -0.923652  -0.0180579 -0.0913733  3.04421 -0.69478  
9.70752 0.019506 -0.0904936  2.65626 -0.679261  0.00107656 -0.0925092  2.82201 -0.91813  -0.0178546 -0.0909101  3.0432 -0.691654  
9.77035 0.019274 -0.0900458  2.6602 -0.676288  0.00105466 -0.092029  2.82384 -0.912671  -0.0176546 -0.0904509  3.0422 -0.688553  
9.83319 0.0190461 -0.0896016  2.66407 -0.673339  0.00103337 -0.0915532  2.82563 -0.907274  -0.0174578 -0.0899957  3.04122 -0.685478  
9.89602 0.0188223 -0.0891609  2.66786 -0.670415  0.00101265 -0.0910818  2.82739 -0.901938  -0.0172642 -0.0895445  3.04026 -0.682429  
9.95885 0.0186023 -0.0887238  2.67158 -0.667513  0.000992501 -0.0906146  2.82912 -0.896661  -0.0170738 -0.0890972  3.03932 -0.679406  
10.0217 0.0183862 -0.0882902  2.67523 -0.664635  0.000972892 -0.0901516  2.83081 -0.891442  -0.0168863 -0.0886538  3.0384 -0.676407  
10.0845 0.0181737 -0.0878601  2.67881 -0.661779  0.000953809 -0.0896928  2.83247 -0.886282  -0.0167019 -0.0882141  3.0375 -0.673433  
10.1473 0.017965 -0.0874334  2.68233 -0.658946  0.000935235 -0.0892381  2.8341 -0.881178  -0.0165203 -0.0877783  3.03661 -0.670483  
10.2102 0.0177597 -0.0870102  2.68578 -0.656136  0.000917153 -0.0887874  2.8357 -0.87613  -0.0163417 -0.0873463  3.03574 -0.667558  
10.273 0.017558 -0.0865904  2.68917 -0.653348  0.000899547 -0.0883409  2.83728 -0.871137  -0.0161658 -0.0869179  3.03488 -0.664656  
10.3358 0.0173597 -0.086174  2.6925 -0.650581  0.000882401 -0.0878982  2.83882 -0.866198  -0.0159927 -0.0864932  3.03404 -0.661778  
10.3987 0.0171646 -0.0857609  2.69576 -0.647837  0.000865702 -0.0874596  2.84033 -0.861312  -0.0158222 -0.0860722  3.03321 -0.658924  
10.4615 0.0169729 -0.0853512  2.69897 -0.645113  0.000849434 -0.0870248  2.84182 -0.856478  -0.0156544 -0.0856548  3.0324 -0.656092  
10.5243 0.0167843 -0.0849447  2.70212 -0.642411  0.000833583 -0.0865939  2.84328 -0.851697  -0.0154892 -0.0852409  3.03161 -0.653283  
10.5872 0.0165988 -0.0845416  2.70522 -0.63973  0.000818137 -0.0861668  2.84472 -0.846966  -0.0153265 -0.0848306  3.03082 -0.650497  
10.65 0.0164164 -0.0841417  2.70826 -0.63707  0.000803082 -0.0857434  2.84613 -0.842285  -0.0151663 -0.0844237  3.03006 -0.647733  
10.7128 0.0162369 -0.0837451  2.71124 -0.63443  0.000788407 -0.0853238  2.84751 -0.837653  -0.0150085 -0.0840203  3.0293 -0.644991  
10.7757 0.0160604 -0.0833516  2.71418 -0.631811  0.0007741 -0.0849079  2.84888 -0.833069  -0.0148531 -0.0836203  3.02856 -0.642271  
10.8385 0.0158867 -0.0829613  2.71706 -0.629211  0.000760149 -0.0844955  2.85021 -0.828534  -0.0147001 -0.0832237  3.02783 -0.639572  
10.9013 0.0157158 -0.0825741  2.7199 -0.626632  0.000746543 -0.0840868  2.85153 -0.824045  -0.0145493 -0.0828304  3.02712 -0.636895  
10.9642 0.0155476 -0.0821901  2.72268 -0.624072  0.000733273 -0.0836817  2.85282 -0.819603  -0.0144008 -0.0824405  3.02641 -0.634238  
11.027 0.0153821 -0.0818092  2.72542 -0.621532  0.000720327 -0.0832801  2.85409 -0.815206  -0.0142544 -0.0820538  3.02572 -0.631603  
11.0898 0.0152192 -0.0814313  2.72811 -0.619011  0.000707696 -0.0828819  2.85534 -0.810854  -0.0141103 -0.0816704  3.02504 -0.628988  
11.1527 0.0150589 -0.0810564  2.73076 -0.616509  0.000695371 -0.0824872  2.85657 -0.806547  -0.0139683 -0.0812901  3.02437 -0.626393  
11.2155 0.014901 -0.0806846  2.73336 -0.614025  0.000683343 -0.0820959  2.85777 -0.802283  -0.0138283 -0.0809131  3.02371 -0.623819  
11.2783 0.0147457 -0.0803157  2.73592 -0.611561  0.000671603 -0.0817079  2.85896 -0.798062  -0.0136904 -0.0805391  3.02307 -0.621264  
11.3411 0.0145927 -0.0799498  2.73844 -0.609115  0.000660142 -0.0813233  2.86013 -0.793883  -0.0135545 -0.0801683  3.02243 -0.618729  
11.404 0.0144421 -0.0795868  2.74091 -0.606687  0.000648951 -0.0809419  2.86127 -0.789746  -0.0134205 -0.0798006  3.02181 -0.616214  
11.4668 0.0142938 -0.0792267  2.74335 -0.604277  0.000638024 -0.0805638  2.8624 -0.78565  -0.0132885 -0.0794359  3.02119 -0.613718  
