0.0314159 0.000252313 -0.00195715  -59.2951 -502.554  
24.2845 4.43519e-06 -0.0389868  5.49707 -1.20947  
24.3473 4.39061e-06 -0.0388967  5.49708 -1.20643  
24.4102 4.34657e-06 -0.0388069  5.4971 -1.20342  
24.473 4.30306e-06 -0.0387176  5.49711 -1.20042  
24.5358 4.26008e-06 -0.0386286  5.49713 -1.19743  
24.5987 4.21762e-06 -0.03854  5.49714 -1.19446  
24.6615 4.17568e-06 -0.0384518  5.49716 -1.19151  
24.7243 4.13423e-06 -0.038364  5.49718 -1.18856  
24.7872 4.09329e-06 -0.0382765  5.49719 -1.18564  
24.85 4.05283e-06 -0.0381894  5.49721 -1.18272  
24.9128 4.01286e-06 -0.0381027  5.49722 -1.17983  
24.9757 3.97337e-06 -0.0380164  5.49724 -1.17694  
25.0385 3.93435e-06 -0.0379304  5.49725 -1.17407  
25.1013 3.89578e-06 -0.0378448  5.49726 -1.17122  
25.1642 3.85768e-06 -0.0377596  5.49728 -1.16837  
25.227 3.82003e-06 -0.0376747  5.49729 -1.16554  
25.2898 3.78282e-06 -0.0375902  5.49731 -1.16273  
25.3527 3.74605e-06 -0.037506  5.49732 -1.15993  
25.4155 3.70971e-06 -0.0374222  5.49734 -1.15714  
25.4783 3.6738e-06 -0.0373388  5.49735 -1.15437  
25.5411 3.63831e-06 -0.0372557  5.49736 -1.15161  
25.604 3.60323e-06 -0.0371729  5.49738 -1.14886  
25.6668 3.56856e-06 -0.0370905  5.49739 -1.14612  
25.7296 3.53429e-06 -0.0370084  5.49741 -1.1434  
25.7925 3.50043e-06 -0.0369267  5.49742 -1.14069  
25.8553 3.46695e-06 -0.0368453  5.49743 -1.13799  
25.9181 3.43386e-06 -0.0367643  5.49745 -1.13531  
25.981 3.40115e-06 -0.0366836  5.49746 -1.13264  
26.0438 3.36882e-06 -0.0366032  5.49747 -1.12998  
26.1066 3.33686e-06 -0.0365232  5.49749 -1.12734  
26.1695 3.30527e-06 -0.0364435  5.4975 -1.1247  
26.2323 3.27404e-06 -0.0363641  5.49751 -1.12208  
26.2951 3.24316e-06 -0.0362851  5.49752 -1.11947  
26.358 3.21264e-06 -0.0362063  5.49754 -1.11688  
26.4208 3.18246e-06 -0.0361279  5.49755 -1.11429  
26.4836 3.15262e-06 -0.0360499  5.49756 -1.11172  
26.5465 3.12313e-06 -0.0359721  5.49757 -1.10916  
26.6093 3.09396e-06 -0.0358947  5.49759 -1.10661  
26.6721 3.06513e-06 -0.0358176  5.4976 -1.10407  
26.735 3.03662e-06 -0.0357407  5.49761 -1.10154  
26.7978 3.00842e-06 -0.0356642  5.49762 -1.09903  
26.8606 2.98055e-06 -0.0355881  5.49763 -1.09652  
26.9234 2.95299e-06 -0.0355122  5.49765 -1.09403  
26.9863 2.92573e-06 -0.0354366  5.49766 -1.09155  
27.0491 2.89878e-06 -0.0353614  5.49767 -1.08908  
27.1119 2.87213e-06 -0.0352864  5.49768 -1.08663  
27.1748 2.84577e-06 -0.0352117  5.49769 -1.08418  
27.2376 2.81971e-06 -0.0351374  5.4977 -1.08174  
