13.5246 0.0144489 -0.092456  -1.15002 2.96682  
13.556 0.0142968 -0.0921993  -1.14236 2.96492  
13.5874 0.0141467 -0.0919436  -1.13476 2.96303  
13.6188 0.0139985 -0.0916889  -1.12722 2.96114  
13.6502 0.0138522 -0.0914352  -1.11972 2.95924  
13.6816 0.0137077 -0.0911825  -1.11228 2.95735  
13.7131 0.0135651 -0.0909309  -1.10489 2.95545  
13.7445 0.0134243 -0.0906803  -1.09754 2.95356  
13.7759 0.0132852 -0.0904308  -1.09025 2.95167  
13.8073 0.0131479 -0.0901822  -1.08301 2.94977  
13.8387 0.0130123 -0.0899347  -1.07582 2.94788  
13.8701 0.0128784 -0.0896882  -1.06867 2.94599  
13.9015 0.0127462 -0.0894428  -1.06158 2.94409  
13.933 0.0126157 -0.0891984  -1.05453 2.9422  
13.9644 0.0124868 -0.088955  -1.04753 2.94031  
13.9958 0.0123594 -0.0887126  -1.04057 2.93841  
14.0272 0.0122337 -0.0884713  -1.03367 2.93652  
14.0586 0.0121095 -0.088231  -1.02681 2.93463  
14.09 0.0119869 -0.0879917  -1.01999 2.93273  
14.1215 0.0118658 -0.0877534  -1.01322 2.93084  
14.1529 0.0117462 -0.0875162  -1.0065 2.92895  
14.1843 0.011628 -0.0872799  -0.999821 2.92705  
14.2157 0.0115113 -0.0870447  -0.993186 2.92516  
14.2471 0.011396 -0.0868105  -0.986595 2.92327  
14.2785 0.0112822 -0.0865773  -0.980047 2.92137  
14.31 0.0111697 -0.0863452  -0.973542 2.91948  
14.3414 0.0110586 -0.086114  -0.96708 2.91759  
14.3728 0.0109489 -0.0858838  -0.96066 2.91569  
14.4042 0.0108405 -0.0856547  -0.954282 2.9138  
14.4356 0.0107334 -0.0854265  -0.947946 2.91191  
14.467 0.0106276 -0.0851994  -0.941651 2.91001  
14.4985 0.0105231 -0.0849732  -0.935397 2.90812  
14.5299 0.0104198 -0.084748  -0.929184 2.90623  
14.5613 0.0103178 -0.0845238  -0.92301 2.90433  
14.5927 0.010217 -0.0843006  -0.916877 2.90244  
14.6241 0.0101174 -0.0840784  -0.910783 2.90055  
14.6555 0.010019 -0.0838572  -0.904728 2.89865  
14.6869 0.0099218 -0.0836369  -0.898712 2.89676  
14.7184 0.00982573 -0.0834177  -0.892734 2.89487  
14.7498 0.00973081 -0.0831994  -0.886795 2.89297  
14.7812 0.00963702 -0.082982  -0.880893 2.89108  
14.8126 0.00954434 -0.0827656  -0.875029 2.88918  
14.844 0.00945275 -0.0825502  -0.869202 2.88729  
14.8754 0.00936224 -0.0823357  -0.863412 2.8854  
14.9069 0.0092728 -0.0821222  -0.857658 2.8835  
14.9383 0.0091844 -0.0819097  -0.851941 2.88161  
14.9697 0.00909705 -0.0816981  -0.84626 2.87972  
15.0011 0.00901071 -0.0814874  -0.840614 2.87782  
15.0325 0.00892539 -0.0812776  -0.835004 2.87593  
15.0639 0.00884106 -0.0810688  -0.829429 2.87404  
15.0954 0.00875771 -0.080861  -0.823889 2.87214  
